,name,id,frequency,er,tanl,quarter,res,height,root_width,width,output_padding,port_1_padding,fe
113,4350B,5,8.0,2.16,0.0033666666666666,6.28946878087348,100.0,0.254,0.457658837260459,0.7778163870605752,0.5899774780637551,0.5899774780637551,0.002549785731706057
114,4350B,5,8.0,2.16,0.0040333333333333,6.30001130755995,100.0,0.254,0.458129353378148,0.7778163870605752,0.5899774780637551,0.5899774780637551,0.002549785338615138
115,4350B,5,8.0,2.16,0.0047,6.30959778429258,100.0,0.254,0.458646475774673,0.7778163870605752,0.5899774780637551,0.5899774780637551,0.0025497848746975716
116,4350B,5,8.0,2.6933333333333334,0.0027,5.55072060712073,100.0,0.254,0.388754631508228,0.6731567037107284,0.5181526541585767,0.5181526541585767,0.002283418755701122
117,4350B,5,8.0,2.6933333333333334,0.0033666666666666,5.55914405067289,100.0,0.254,0.389191698528859,0.6731567037107284,0.5181526541585767,0.5181526541585767,0.0022834184671028847
118,4350B,5,8.0,2.6933333333333334,0.0040333333333333,5.56756936779246,100.0,0.254,0.389588643980731,0.6731567037107284,0.5181526541585767,0.5181526541585767,0.002283418115076809
119,4350B,5,8.0,2.6933333333333334,0.0047,5.57683934182658,100.0,0.254,0.38998520548268,0.6731567037107284,0.5181526541585767,0.5181526541585767,0.0022834176996231006
120,4350B,5,8.0,3.2266666666666666,0.0027,5.37752513923351,100.0,0.254,0.337499227500152,0.5948348217777082,0.4649290073067524,0.4649290073067524,0.0020861885896119
121,4350B,5,8.0,3.2266666666666666,0.0033666666666666,5.39121769914824,100.0,0.254,0.337807172211741,0.5948348217777082,0.4649290073067524,0.4649290073067524,0.0020861883259413196
122,4350B,5,8.0,3.2266666666666666,0.0040333333333333,5.40643212996205,100.0,0.254,0.338148984542975,0.5948348217777082,0.4649290073067524,0.4649290073067524,0.0020861880043214764
123,4350B,5,8.0,3.2266666666666666,0.0047,5.42012535828113,100.0,0.254,0.338456292563235,0.5948348217777082,0.4649290073067524,0.4649290073067524,0.0020861876247525585
124,4350B,5,8.0,3.76,0.0027,4.95040023388795,100.0,0.254,0.302034690629755,0.5332781194404852,0.4234481413616288,0.4234481413616288,0.001932576501293585
125,4350B,5,8.0,3.76,0.0033666666666666,4.96287166979806,100.0,0.254,0.302384650858616,0.5332781194404852,0.4234481413616288,0.4234481413616288,0.0019325762570378301
126,4350B,5,8.0,3.76,0.0040333333333333,4.97672848231323,100.0,0.254,0.30277259806437,0.5332781194404852,0.4234481413616288,0.4234481413616288,0.0019325759590997846
127,4350B,5,8.0,3.76,0.0047,4.98919913840641,100.0,0.254,0.30312092370938,0.5332781194404852,0.4234481413616288,0.4234481413616288,0.001932575607479622
